Time(ms),Volume,Pressure,Temperature 1,Temperature 2,,Time(ms) - Driven,Volume - Driven,Pressure - Driven,Temperature 1 - Driven,Temperature 2 - Driven
461,32.241040075010986,80.46386719,206,53.75,,398,40.42617837175935,74.12841797,44.75,28.75
468,31.74439827575886,83.52783203,206,53.75,,405,38.82571698653846,76.78955078,44.75,28.75
476,31.152158680061664,86.93359375,206,53.75,,410,37.13055030407233,78.91357422,44.75,28.75
481,30.61053042565112,88.77685547,206,53.75,,419,35.81148852697516,83.125,44.75,28.75
488,30.35113892331391,91.25488281,206,53.75,,426,33.83575459948419,86.89697266,44.75,28.75
496,30.081933000908204,93.57421875,206,53.75,,431,32.336153518515154,89.48486328,44.75,28.75
505,29.903582171498744,95.13671875,206,53.75,,439,31.495192894641725,92.59765625,44.5,28.75
513,29.84506828717593,95.99121094,206,53.75,,447,30.50509470307363,93.98925781,44.5,28.75
521,29.902558973917174,95.99121094,206,53.75,,455,29.96482959762497,93.07373047,44.5,28.75
529,30.073698418823135,95.16113281,206,53.75,,463,29.858183112040905,90.52246094,44.5,28.75
537,30.36963245937254,93.70849609,206,53.75,,468,30.10752137070569,87.76367188,44.5,28.75
546,30.802678047406474,91.53564453,206,53.75,,475,30.50509470307363,83.49121094,44.5,28.75
554,31.38531470383775,89.03320313,206,53.75,,480,31.347765430717402,80.34179688,44.5,28.75
562,32.11483528414657,86.15234375,206,53.75,,488,32.18084389297216,76.15478516,44.5,28.75
570,32.99692331047219,83.35693359,206,53.75,,495,33.86114856683971,73.10302734,44.5,28.75
578,34.02340465520091,80.53710938,206,53.75,,501,35.59367029676416,71.40625,44.5,28.75
587,35.14424380907827,78.10791016,206,53.75,,508,36.882366172233276,69.75830078,44.75,28.75
595,36.28854932,75.80078125,206,53.75,,513,38.616716692554036,69.08691406,44.75,28.75
603,37.43417086697925,73.90869141,206,53.75,,520,39.69603342076123,68.76953125,44.75,28.75
611,38.48397654968426,72.17529297,206,53.75,,525,40.84990451,68.85498047,44.75,28.75
619,39.41568465806164,70.80810547,206,53.75,,532,41.38540948593073,69.36767578,44.75,28.75
628,40.17819919158153,69.56298828,206,53.75,,536,41.62363954322654,69.85595703,44.75,28.75
636,40.78143086858186,68.61083984,206,53.75,,540,41.494066865783886,70.56396484,44.75,28.75
644,41.22291498696856,67.75634766,206,53.75,,545,41.16801619717416,71.41845703,44.75,28.75
652,41.49626536229354,67.08496094,206,53.75,,550,40.65965030303611,72.71240234,44.75,28.75
660,41.61816423660552,66.5234375,206,53.75,,557,39.79377976607945,75.04394531,44.75,28.75
668,41.59236987522891,66.1328125,206,53.75,,562,38.24134825817515,77.0703125,44.75,28.75
677,41.42242959906747,65.83984375,206,53.75,,569,36.987489549817454,80.12207031,44.75,28.75
685,41.11831978594797,65.69335938,206,53.75,,574,35.17208995635574,82.80761719,44.75,28.75
693,40.67102314221623,65.7421875,206,53.75,,581,33.93770230334856,86.59179688,44.75,28.75
701,40.10975354,65.94970703,206,53.75,,587,32.42606837738295,89.20410156,44.75,28.75
709,39.39971235752376,66.42578125,206,53.75,,594,31.562961493142158,92.15820313,44.75,28.75
718,38.58147177057059,67.17041016,206,53.75,,599,30.64488023494181,93.53759766,44.75,28.75
726,37.65060052501805,68.24462891,206,53.75,,606,30.207568635827837,93.92822266,44.75,28.75
734,36.633439086328586,69.83154297,206,53.75,,611,29.88568839023454,93.22021484,44.75,28.75
742,35.55593153301497,71.796875,206,53.75,,619,29.85262597,90.20507813,44.75,28.75
750,34.47929198208588,74.44580078,206,53.75,,628,30.148397220532857,85.76171875,44.75,28.75
759,33.43825999,77.37548828,206,53.75,,636,30.893687421457507,80.69580078,44.75,28.75
767,32.49626983122057,80.75683594,206,53.75,,644,32.10828533000417,76.43554688,44.75,28.75
775,31.678969059494246,84.1015625,206,53.75,,652,33.77674658517812,72.83447266,44.75,28.75
783,31.021631392386926,87.50732422,206,53.75,,660,35.75454117064696,70.50292969,44.75,28.75
791,30.512109541427748,90.42480469,206,53.75,,668,37.80934033858472,69.16015625,44.75,28.75
800,30.16028378604459,92.96386719,206,53.75,,677,39.62725171898008,68.76953125,44.75,28.75
808,29.941110079394555,94.69726563,206,53.75,,685,40.935446141215515,69.08691406,44.75,28.75
816,29.849386708531323,95.8203125,206,53.75,,693,41.58152953519584,69.97802734,44.75,28.75
824,29.876068099220277,96.05224609,206,53.75,,701,41.45391469525822,71.57714844,44.75,28.75
832,30.016625614301706,95.45410156,206,53.75,,709,40.554631183074626,73.79882813,44.75,28.75
841,30.277721133069242,94.16015625,206,53.75,,718,39.030164479321414,76.85058594,44.75,28.75
849,30.672131314994818,92.14599609,206,53.75,,726,37.073371721177786,80.46386719,44.75,28.75
857,31.212426253664894,89.74121094,206,53.75,,734,35.01478365815438,84.80957031,44.75,28.75
865,31.903609037374142,86.90917969,206,53.75,,742,33.120437669401554,88.97216797,44.75,28.75
873,32.74896048886211,84.08935547,206,53.75,,750,31.620487905687703,92.41455078,44.75,28.75
881,33.73481000767847,81.23291016,206,53.75,,759,30.584347825433156,93.96484375,44.75,28.75
889,34.840462896242094,78.96240234,206,53.75,,767,30.00111248409168,93.29345703,44.75,28.75
